Evolving 30 sharks over 10000 generations (max_steps=200, lives=3, mutation_rate=0.2, seed=0)...

  Gen |  Size |  Speed | Caution |  Fitness
 2040 | 7.283 | 10.332 |   0.381 |  67.2667
 2041 | 7.433 | 10.132 |   0.398 |  60.2333
 2042 | 7.146 |  9.964 |   0.475 |  59.3333
 2043 | 7.831 | 10.153 |   0.465 |  52.6333
 2044 | 7.830 | 10.220 |   0.415 |  27.4000
 2045 | 7.377 | 10.381 |   0.402 |  47.5667
 2046 | 6.888 | 10.159 |   0.430 |  49.1000
 2047 | 7.372 | 10.532 |   0.404 |  37.5667
 2048 | 7.283 | 10.164 |   0.414 |  11.8667
 2049 | 7.050 | 10.518 |   0.372 |  42.6333
 2050 | 7.050 | 10.518 |   0.372 |  33.3667
 2051 | 6.863 | 10.589 |   0.340 |  44.6667
 2052 | 6.984 | 11.037 |   0.331 |  60.9667
 2053 | 7.207 | 10.427 |   0.396 |  67.5333
 2054 | 7.650 | 10.353 |   0.456 |  65.3000
 2055 | 7.100 | 10.896 |   0.401 |  59.5333
 2056 | 7.244 | 10.871 |   0.396 |  60.5333
 2057 | 7.366 | 10.821 |   0.436 |  70.9000
 2058 | 7.364 | 11.140 |   0.423 |  56.9667
 2059 | 7.275 | 10.685 |   0.436 |   9.3000
 2060 | 7.197 | 10.756 |   0.405 |  55.5333
 2061 | 7.096 | 11.160 |   0.407 |  48.5667
 2062 | 7.230 | 12.000 |   0.407 |  31.6333
 2063 | 7.645 | 10.861 |   0.269 |  34.8667
 2064 | 6.781 | 10.847 |   0.539 |  50.5333
 2065 | 7.253 | 10.908 |   0.428 |  42.7333
 2066 | 6.728 | 11.513 |   0.526 |  53.8333
 2067 | 7.112 | 10.441 |   0.404 |  28.0333
 2068 | 7.112 | 10.441 |   0.404 |  98.3000
 2069 | 7.165 | 10.364 |   0.390 |  54.6667
 2070 | 7.261 | 10.737 |   0.396 |  37.0000
 2071 | 7.877 | 10.533 |   0.261 |  51.2667
 2072 | 7.345 | 10.382 |   0.457 |  34.7333
 2073 | 6.704 | 10.326 |   0.376 |  38.7667
 2074 | 7.216 | 10.328 |   0.475 |  40.4333
 2075 | 7.057 | 10.427 |   0.368 |  32.4333
 2076 | 7.542 | 10.787 |   0.431 |  50.9667
 2077 | 7.458 | 10.402 |   0.364 |  38.7667
 2078 | 7.374 | 10.350 |   0.373 |  36.6000
 2079 | 7.625 | 11.161 |   0.329 |  40.1667
 2080 | 7.543 | 11.336 |   0.366 |  63.5333
 2081 | 7.479 | 10.679 |   0.358 |  43.9333
 2082 | 7.101 | 11.621 |   0.329 |  50.1000
 2083 | 7.136 | 10.867 |   0.367 |  34.0333
 2084 | 7.316 | 10.718 |   0.408 |  52.9667
 2085 | 7.278 | 10.481 |   0.356 |  50.9000
 2086 | 7.214 | 11.098 |   0.365 |  62.3667
 2087 | 7.408 | 11.676 |   0.406 |  47.9667
 2088 | 7.517 | 11.204 |   0.386 |  44.9333
 2089 | 7.238 | 11.366 |   0.367 |  27.3333
 2090 | 7.128 | 10.285 |   0.432 |  30.7333
 2091 | 7.378 | 10.855 |   0.447 |  32.1333
 2092 | 7.287 | 11.185 |   0.382 |  43.3333
 2093 | 7.223 | 11.305 |   0.396 |  26.1333
 2094 | 7.305 | 11.237 |   0.398 |  25.5333
 2095 | 7.250 | 11.124 |   0.349 |  28.9333
 2096 | 7.310 | 11.207 |   0.383 |  55.0000
 2097 | 6.653 | 11.239 |   0.379 |  56.7000
 2098 | 7.014 | 11.216 |   0.374 |  22.6000
 2099 | 7.503 | 11.144 |   0.400 |  67.3333
 2100 | 7.504 | 11.075 |   0.508 |  40.5667
 2101 | 7.722 | 11.211 |   0.407 |  39.0000
 2102 | 7.419 | 11.391 |   0.388 |  32.8333
 2103 | 7.662 | 11.166 |   0.407 |  78.4667
 2104 | 7.550 | 10.669 |   0.407 |  72.2000
 2105 | 7.550 | 10.669 |   0.407 |  32.2333
 2106 | 7.640 | 10.805 |   0.417 |  13.8667
 2107 | 7.432 | 10.757 |   0.395 |  34.2667
 2108 | 7.441 | 11.236 |   0.397 |  51.8333
 2109 | 7.424 | 11.167 |   0.381 |  78.4000
 2110 | 7.805 | 10.101 |   0.396 |  57.9667
 2111 | 7.387 | 10.848 |   0.384 |  81.4667
 2112 | 7.471 | 10.451 |   0.382 |  38.1333
 2113 | 7.471 | 10.451 |   0.382 |  44.2000
 2114 | 7.463 | 10.867 |   0.364 |  46.1333
 2115 | 7.425 | 10.558 |   0.383 |  31.7000
 2116 | 7.448 | 10.679 |   0.402 |  40.9667
 2117 | 7.541 | 10.919 |   0.370 |  45.8000
 2118 | 7.355 | 10.829 |   0.427 |  25.6667
 2119 | 7.524 | 10.687 |   0.376 |  50.3333
 2120 | 7.544 | 10.912 |   0.421 |  58.3333
 2121 | 7.657 | 10.518 |   0.377 |  53.6333
 2122 | 7.470 | 10.697 |   0.390 |  27.4333
 2123 | 7.563 | 11.192 |   0.362 |  41.3667
 2124 | 7.592 | 11.447 |   0.369 |  76.1000
 2125 | 7.515 | 11.277 |   0.370 |  51.8667
 2126 | 7.535 | 10.804 |   0.393 |  54.5667
 2127 | 7.473 | 11.139 |   0.384 |  29.6333
 2128 | 6.571 | 10.998 |   0.365 |  37.3667
 2129 | 8.002 | 10.979 |   0.388 |  59.0000
 2130 | 7.433 | 10.897 |   0.371 |  35.8333
 2131 | 7.808 | 10.968 |   0.377 |   7.1333
 2132 | 7.592 | 11.533 |   0.410 |  39.9333
 2133 | 7.925 | 11.107 |   0.388 |  74.4667
 2134 | 7.346 | 10.876 |   0.376 |  23.7667
 2135 | 7.975 | 11.504 |   0.409 |  58.0667
 2136 | 7.715 | 11.169 |   0.390 |  39.4667
 2137 | 7.807 | 11.339 |   0.400 |  28.0000
 2138 | 7.518 | 11.227 |   0.374 |  30.4667
 2139 | 8.045 | 10.716 |   0.464 |  56.9333
 2140 | 7.661 | 11.236 |   0.370 |  32.1000
 2141 | 7.997 | 10.659 |   0.458 |  51.0000
 2142 | 8.278 | 11.500 |   0.409 |  38.5000
 2143 | 7.845 | 11.348 |   0.384 |  60.4000
 2144 | 7.654 | 11.577 |   0.435 |  31.0667
 2145 | 7.716 | 11.499 |   0.416 |  54.8667
 2146 | 7.770 | 11.422 |   0.409 |  35.4000
 2147 | 7.597 | 11.847 |   0.387 |  24.8333
 2148 | 7.618 | 10.689 |   0.405 |  26.4667
 2149 | 7.376 | 11.648 |   0.386 |  28.5667
 2150 | 7.808 | 11.497 |   0.341 |  41.1000
 2151 | 8.228 | 11.513 |   0.491 |  25.7333
 2152 | 7.808 | 11.497 |   0.329 |  49.3000
 2153 | 7.879 | 11.420 |   0.324 |  72.3000
 2154 | 7.044 | 11.571 |   0.383 |  65.9667
 2155 | 7.802 | 11.489 |   0.343 |  25.8333
 2156 | 7.813 | 11.433 |   0.329 |  38.0667
 2157 | 7.759 | 11.193 |   0.353 |  31.7000
 2158 | 7.769 | 11.372 |   0.343 |  67.1667
 2159 | 8.105 | 11.125 |   0.354 |  54.3000
 2160 | 8.453 | 11.099 |   0.339 |  42.8000
 2161 | 7.337 | 11.490 |   0.427 |  78.6333
 2162 | 7.337 | 11.490 |   0.427 |  27.1333
 2163 | 7.773 | 11.351 |   0.390 |  66.7333
 2164 | 7.815 | 10.411 |   0.422 |  49.3667
 2165 | 8.377 | 11.346 |   0.328 |  37.2000
 2166 | 7.470 | 10.228 |   0.376 |  54.8667
 2167 | 7.734 | 11.172 |   0.389 |  65.7000
 2168 | 7.200 | 11.031 |   0.374 |  49.2667
 2169 | 7.540 | 10.407 |   0.265 |  29.2333
 2170 | 7.209 | 10.989 |   0.377 |  38.9667
 2171 | 7.321 | 10.805 |   0.407 |  41.6667
 2172 | 7.408 | 10.768 |   0.394 |  57.6000
 2173 | 7.417 | 10.716 |   0.390 |  61.5000
 2174 | 7.412 | 10.594 |   0.388 |  75.1667
 2175 | 7.668 | 11.055 |   0.350 |  27.0333
 2176 | 7.277 | 10.561 |   0.357 |  35.6000
 2177 | 7.472 | 10.686 |   0.385 |  32.9667
 2178 | 7.383 | 11.201 |   0.373 |  63.1333
 2179 | 7.341 | 10.930 |   0.343 |  45.9333
 2180 | 7.484 | 10.454 |   0.360 |  41.5333
 2181 | 7.355 | 11.198 |   0.377 |  24.4000
 2182 | 7.776 | 10.755 |   0.358 |  19.4333
 2183 | 7.623 | 10.764 |   0.341 |  44.8000
 2184 | 7.642 | 10.886 |   0.359 |  46.0000
 2185 | 7.503 | 10.809 |   0.464 |  45.4333
 2186 | 7.434 | 10.962 |   0.366 |  60.5333
 2187 | 7.606 | 11.133 |   0.432 |  57.0667
 2188 | 7.871 | 10.568 |   0.383 |  64.4333
 2189 | 7.820 | 10.932 |   0.402 |  32.3333
 2190 | 7.804 | 10.898 |   0.480 |  39.5333
 2191 | 7.006 | 10.828 |   0.402 |  35.0000
 2192 | 7.168 | 10.841 |   0.402 |  23.7333
 2193 | 7.764 | 11.573 |   0.458 |  35.1667
 2194 | 7.759 | 10.977 |   0.465 |  45.8333
 2195 | 8.200 | 11.291 |   0.431 |  41.3333
 2196 | 7.907 | 10.938 |   0.466 |  52.7667
 2197 | 8.081 | 11.273 |   0.431 |  55.4333
 2198 | 7.770 | 11.382 |   0.447 |  35.5000
 2199 | 7.869 | 10.604 |   0.442 |  73.5333
 2200 | 7.859 | 11.137 |   0.420 |  44.2000
 2201 | 7.822 | 11.127 |   0.451 |  34.2333
 2202 | 7.761 | 11.101 |   0.457 |  26.1333
 2203 | 7.803 | 11.168 |   0.429 |  93.9333
 2204 | 8.085 | 11.095 |   0.457 |  39.3333
 2205 | 7.414 | 10.894 |   0.390 |  45.9667
 2206 | 7.464 | 10.853 |   0.534 |  38.6667
 2207 | 7.937 | 10.876 |   0.456 |  47.3333
 2208 | 8.314 | 10.758 |   0.453 |  75.5333
 2209 | 7.780 | 10.789 |   0.417 |  46.5333
 2210 | 7.591 | 10.652 |   0.372 |  36.8000
 2211 | 7.893 | 11.345 |   0.386 |  19.4333
 2212 | 8.227 | 10.860 |   0.452 |  42.1000
 2213 | 7.976 | 10.897 |   0.410 |  40.3000
 2214 | 7.952 | 11.159 |   0.411 |  30.0333
 2215 | 7.980 | 10.708 |   0.520 |  40.6667
 2216 | 8.193 | 10.728 |   0.412 |  64.5333
 2217 | 8.026 | 10.694 |   0.490 |  62.2333
 2218 | 8.063 | 10.188 |   0.484 |  38.7333
 2219 | 8.136 | 10.934 |   0.481 |  50.5000
 2220 | 8.201 | 11.227 |   0.440 |  31.7000
 2221 | 8.176 | 10.936 |   0.482 |  22.5667
 2222 | 8.250 | 10.818 |   0.470 |  37.0333
 2223 | 8.181 | 10.907 |   0.402 |  54.0333
 2224 | 8.222 | 10.907 |   0.423 |  64.6667
 2225 | 8.433 | 10.825 |   0.477 |  35.4000
 2226 | 8.170 | 11.342 |   0.427 |  72.0667
 2227 | 8.083 | 11.128 |   0.453 |  29.8667
 2228 | 8.143 | 11.127 |   0.463 |  34.5667
 2229 | 8.325 | 10.739 |   0.466 |  54.9333
 2230 | 8.304 | 10.856 |   0.445 |  30.3667
 2231 | 8.135 | 11.039 |   0.564 |  48.0667
 2232 | 8.571 | 10.263 |   0.517 |  53.3000
 2233 | 8.626 | 11.144 |   0.458 |  57.3000
 2234 | 8.706 | 11.040 |   0.455 |  47.8667
 2235 | 8.426 | 11.037 |   0.408 |  33.3667
 2236 | 8.425 | 10.764 |   0.463 |  24.7333
 2237 | 8.414 | 10.831 |   0.445 |  68.5333
 2238 | 8.439 | 10.519 |   0.469 |  40.1000
 2239 | 8.800 | 11.214 |   0.455 |  60.7000
 2240 | 8.788 | 10.880 |   0.490 |  42.3333
 2241 | 8.801 | 10.690 |   0.463 |  22.4667
 2242 | 8.733 | 10.572 |   0.435 |  64.5667
 2243 | 8.815 | 10.682 |   0.441 |  89.3000
 2244 | 8.904 | 11.274 |   0.438 |  23.1333
 2245 | 8.831 | 10.757 |   0.442 |  45.9667
 2246 | 8.701 | 10.954 |   0.447 |  54.2333
 2247 | 8.686 | 11.051 |   0.541 |  39.6333
 2248 | 8.813 | 11.000 |   0.395 |  28.1333
 2249 | 8.812 | 10.999 |   0.396 |  23.0667
 2250 | 8.673 | 11.036 |   0.319 |  48.5667
 2251 | 8.791 | 10.971 |   0.492 |  62.1333
 2252 | 8.840 | 10.925 |   0.441 |  29.5333
 2253 | 8.913 | 11.562 |   0.321 |  19.2667
 2254 | 8.600 | 11.042 |   0.353 |  40.7000
 2255 | 8.409 | 10.723 |   0.470 |  42.2667
 2256 | 8.788 | 10.977 |   0.420 |  50.1667
 2257 | 8.358 | 10.218 |   0.402 |  59.8667
 2258 | 8.691 | 10.993 |   0.518 |  63.8000
 2259 | 9.000 | 11.260 |   0.375 |  33.2000
 2260 | 8.851 | 11.215 |   0.499 |  39.2000
 2261 | 8.449 | 10.497 |   0.476 |  54.9333
 2262 | 8.634 | 10.849 |   0.408 |  62.9333
 2263 | 8.447 | 11.145 |   0.377 |  47.3333
 2264 | 8.698 | 10.988 |   0.409 |  45.5667
 2265 | 8.675 | 10.993 |   0.388 |  54.3333
 2266 | 8.695 | 10.989 |   0.406 |  44.1333
 2267 | 8.645 | 10.856 |   0.422 |  47.2000
 2268 | 8.007 | 10.695 |   0.342 |  64.6000
 2269 | 8.827 | 10.499 |   0.415 |  34.0000
 2270 | 8.658 | 11.450 |   0.443 |  59.4333
 2271 | 9.000 | 10.659 |   0.438 |  51.4000
 2272 | 8.824 | 10.610 |   0.430 |  65.6667
 2273 | 8.947 | 10.605 |   0.443 |  58.8667
 2274 | 8.058 | 11.114 |   0.424 |  39.5333
 2275 | 8.724 | 11.549 |   0.452 |  63.2333
 2276 | 8.480 | 10.179 |   0.422 |  59.0333
 2277 | 8.621 | 10.689 |   0.458 |  24.7000
 2278 | 8.493 | 11.091 |   0.476 |  51.1333
 2279 | 8.672 | 11.021 |   0.349 |  27.8667
 2280 | 8.336 | 11.091 |   0.476 |  46.6667
 2281 | 8.645 | 10.549 |   0.413 |  73.3000
 2282 | 7.966 | 11.199 |   0.517 |  48.6000
 2283 | 7.991 | 11.393 |   0.515 |  45.7667
 2284 | 8.928 | 11.597 |   0.455 |  69.5000
 2285 | 8.545 | 11.422 |   0.468 |   8.3667
 2286 | 8.602 | 11.513 |   0.448 |  26.1667
 2287 | 8.609 | 11.493 |   0.467 |  27.3667
 2288 | 8.784 | 11.660 |   0.468 |  35.9333
 2289 | 8.877 | 11.663 |   0.289 |  21.6667
 2290 | 8.836 | 11.636 |   0.326 |  19.8667
 2291 | 8.677 | 11.551 |   0.402 |  33.3000
 2292 | 9.000 | 11.352 |   0.403 |  35.5000
 2293 | 8.646 | 11.083 |   0.509 |  37.5333
 2294 | 9.000 | 11.352 |   0.446 |  46.9000
 2295 | 8.551 | 11.039 |   0.502 |  38.5333
 2296 | 8.585 | 11.249 |   0.450 |  62.7333
 2297 | 8.039 | 10.670 |   0.432 |  40.8667
 2298 | 8.112 | 10.769 |   0.433 |  71.6667
 2299 | 8.743 | 11.638 |   0.464 |  67.4667
 2300 | 8.729 | 11.599 |   0.459 |  53.9333
 2301 | 8.729 | 11.599 |   0.459 |  37.9333
 2302 | 8.593 | 11.610 |   0.468 |   8.3000
 2303 | 8.423 | 11.582 |   0.454 |  33.6333
 2304 | 8.593 | 11.567 |   0.455 |  36.3667
 2305 | 8.521 | 11.883 |   0.443 |  35.8000
 2306 | 8.510 | 11.586 |   0.454 |  40.7000
 2307 | 8.347 | 11.487 |   0.459 |  46.1667
 2308 | 8.349 | 11.448 |   0.563 |  40.2333
 2309 | 8.351 | 11.489 |   0.475 |  83.1333
 2310 | 8.453 | 11.416 |   0.536 |  23.8667
 2311 | 8.506 | 11.475 |   0.475 |  69.0000
 2312 | 8.506 | 11.475 |   0.475 |  64.3000
 2313 | 8.366 | 11.484 |   0.444 |  40.8000
 2314 | 8.190 | 11.533 |   0.471 |  43.1000
 2315 | 8.382 | 11.562 |   0.487 |  55.9667
 2316 | 8.727 | 10.041 |   0.502 |  63.1333
 2317 | 8.391 | 11.458 |   0.496 |  46.5000
 2318 | 8.107 | 11.630 |   0.500 |  49.2333
 2319 | 8.069 | 11.244 |   0.436 |  33.0667
 2320 | 8.483 | 11.724 |   0.461 |  54.6667
 2321 | 8.041 | 11.771 |   0.553 |  65.8000
 2322 | 7.889 | 11.790 |   0.490 |  32.9667
 2323 | 7.525 | 11.657 |   0.503 |  37.5667
 2324 | 8.448 | 11.863 |   0.534 |  45.9000
 2325 | 8.029 | 11.676 |   0.542 |  46.7000
 2326 | 8.022 | 11.920 |   0.583 |  20.8000
 2327 | 7.826 | 11.710 |   0.437 |  74.4333
 2328 | 8.377 | 11.574 |   0.491 |  10.4000
 2329 | 7.674 | 11.906 |   0.438 |  59.3667
 2330 | 7.985 | 11.668 |   0.446 |  46.4667
 2331 | 7.985 | 11.668 |   0.446 |  71.0000
 2332 | 7.806 | 11.719 |   0.409 |  38.2667
 2333 | 7.839 | 11.680 |   0.329 |  41.0667
 2334 | 7.435 | 11.518 |   0.406 |  72.2000
 2335 | 8.346 | 11.891 |   0.389 |  72.8000
 2336 | 8.346 | 11.891 |   0.389 |  44.7333
 2337 | 7.985 | 11.768 |   0.418 |  49.0333
 2338 | 8.080 | 11.822 |   0.411 |  48.6000
 2339 | 8.292 | 11.951 |   0.395 |  54.1333
 2340 | 8.395 | 11.185 |   0.408 |  73.4667
 2341 | 8.059 | 10.588 |   0.539 |  47.5333
 2342 | 8.217 | 11.044 |   0.405 |  57.7333
 2343 | 8.236 | 11.987 |   0.511 |  17.4000
 2344 | 8.326 | 11.508 |   0.372 |  19.6333
 2345 | 8.292 | 11.092 |   0.455 |  24.2667
 2346 | 8.273 | 11.731 |   0.431 |  45.4667
 2347 | 8.410 | 11.815 |   0.402 |  36.9333
 2348 | 8.297 | 11.339 |   0.367 |  75.0000
 2349 | 8.019 | 11.298 |   0.403 |  50.1333
 2350 | 8.139 | 10.921 |   0.428 |  77.3333
 2351 | 7.350 | 11.320 |   0.443 |  25.7000
 2352 | 7.821 | 11.329 |   0.437 |  39.7333
 2353 | 8.423 | 11.162 |   0.402 |  37.8000
 2354 | 8.037 | 11.108 |   0.413 |  17.2333
 2355 | 8.149 | 11.224 |   0.398 |  24.4667
 2356 | 7.924 | 11.162 |   0.382 |  14.1667
 2357 | 8.000 | 10.802 |   0.399 |  46.5000
 2358 | 8.846 | 10.508 |   0.428 |  43.7000
 2359 | 8.104 | 11.257 |   0.396 |  56.0333
 2360 | 8.219 |  9.827 |   0.382 |  58.6333
 2361 | 8.000 | 10.571 |   0.394 |  41.1333
 2362 | 8.098 | 10.582 |   0.309 |  87.3333
 2363 | 8.433 | 10.456 |   0.401 |  44.6333
 2364 | 8.270 | 10.648 |   0.388 |  55.0667
 2365 | 8.174 | 10.882 |   0.412 |  52.7667
 2366 | 7.865 | 10.815 |   0.386 |  43.3667
 2367 | 8.362 | 11.138 |   0.387 |  63.3000
 2368 | 8.152 | 11.080 |   0.403 |  46.2000
 2369 | 8.765 | 10.823 |   0.385 |  49.2000
 2370 | 8.194 | 11.360 |   0.413 |  54.7000
 2371 | 8.094 | 10.824 |   0.443 |  29.2000
 2372 | 8.008 | 11.460 |   0.386 |  38.2667
 2373 | 7.567 | 10.567 |   0.377 |  58.1333
 2374 | 7.788 | 11.079 |   0.397 |  42.6333
 2375 | 7.247 | 10.508 |   0.365 |  42.8000
 2376 | 8.068 |  9.807 |   0.384 |  42.6667
 2377 | 8.090 | 10.126 |   0.380 |  35.9000
 2378 | 7.510 | 10.476 |   0.384 |  42.9667
 2379 | 7.942 | 10.264 |   0.384 |  52.2667
 2380 | 7.664 | 10.469 |   0.379 |  60.7000
 2381 | 7.964 | 10.259 |   0.384 |  61.7667
 2382 | 7.964 | 10.259 |   0.384 |  38.1667
 2383 | 8.291 |  9.892 |   0.447 |  27.2333
 2384 | 8.873 | 10.118 |   0.386 |  32.8000
 2385 | 7.909 | 10.095 |   0.381 |  34.4667
 2386 | 8.024 |  9.321 |   0.388 |  55.5333
 2387 | 8.517 |  9.657 |   0.390 |  58.1667
 2388 | 8.277 | 10.080 |   0.399 |  53.4333
 2389 | 7.985 | 10.400 |   0.398 |  36.8667
 2390 | 8.191 | 10.917 |   0.389 |  63.3667
 2391 | 7.796 | 10.014 |   0.386 |  47.4000
 2392 | 7.704 | 11.742 |   0.393 |  40.1000
 2393 | 8.136 | 10.810 |   0.374 |  67.6333
 2394 | 8.965 | 10.584 |   0.507 |  38.7333
 2395 | 7.774 | 10.943 |   0.392 |  44.8667
 2396 | 8.717 | 11.133 |   0.400 |  41.3000
 2397 | 8.394 | 10.772 |   0.382 |  48.0333
 2398 | 8.010 | 10.118 |   0.444 |  60.3333
 2399 | 8.170 | 10.853 |   0.390 |  61.5667
 2400 | 8.126 | 10.426 |   0.452 |  55.4333
 2401 | 8.295 | 10.159 |   0.386 |  64.9000
 2402 | 8.182 | 10.623 |   0.457 |  41.2333
 2403 | 8.251 | 11.090 |   0.495 |  68.6000
 2404 | 7.994 | 10.757 |   0.457 |  27.0000
 2405 | 7.994 | 10.757 |   0.457 |  53.6667
 2406 | 8.344 | 10.856 |   0.426 |  27.0333
 2407 | 8.585 | 10.709 |   0.423 |  57.1333
 2408 | 8.171 | 10.653 |   0.448 |  41.3667
 2409 | 8.391 | 10.816 |   0.385 |  68.3333
 2410 | 8.180 | 10.713 |   0.421 |  50.3000
 2411 | 8.180 | 10.713 |   0.421 |  57.5667
 2412 | 8.272 | 10.466 |   0.340 |  51.4000
 2413 | 8.233 | 10.634 |   0.439 |  58.5333
 2414 | 8.277 | 10.332 |   0.366 |   7.9667
 2415 | 8.428 | 10.385 |   0.410 |  30.9000
 2416 | 7.926 | 10.685 |   0.395 |  53.0333
 2417 | 8.265 | 10.482 |   0.355 |  80.4667
 2418 | 8.792 | 10.642 |   0.354 |  57.5000
 2419 | 8.557 | 10.350 |   0.380 |  68.9667
 2420 | 8.401 | 10.508 |   0.406 |  35.7667
 2421 | 8.439 | 10.520 |   0.407 |  44.3667
 2422 | 8.561 | 10.242 |   0.378 |  47.0667
 2423 | 8.699 | 11.008 |   0.408 |  37.9667
 2424 | 8.518 | 10.344 |   0.415 |  38.8667
 2425 | 8.518 | 10.344 |   0.415 |  28.5000
 2426 | 8.735 | 10.487 |   0.426 |  60.1333
 2427 | 8.444 | 10.495 |   0.421 |  45.9333
 2428 | 8.388 | 10.315 |   0.381 |  29.2000
 2429 | 8.388 | 10.315 |   0.381 |  50.9667
 2430 | 8.570 | 10.123 |   0.458 |  24.8333
 2431 | 8.389 | 10.014 |   0.408 |  67.5667
 2432 | 8.386 | 10.191 |   0.428 |  52.2667
 2433 | 8.491 | 10.518 |   0.410 |  92.1667
 2434 | 8.562 | 10.079 |   0.424 |  37.1667
 2435 | 8.637 | 10.239 |   0.432 |  27.6333
 2436 | 8.287 | 10.126 |   0.428 |  62.2667
 2437 | 8.243 | 10.269 |   0.431 |  26.8000
 2438 | 8.706 | 10.685 |   0.433 |  20.1000
 2439 | 8.309 |  9.991 |   0.429 |  46.8000
 2440 | 8.828 | 11.702 |   0.423 |  78.0667
 2441 | 8.571 | 10.203 |   0.448 |  21.4667
 2442 | 8.524 | 10.644 |   0.377 |  54.5667
 2443 | 8.569 | 10.774 |   0.506 |  69.6333
 2444 | 8.138 | 10.268 |   0.447 |  27.2667
 2445 | 8.505 | 10.367 |   0.373 |  57.1667
 2446 | 8.442 | 10.421 |   0.409 |  41.2333
 2447 | 8.717 | 10.768 |   0.522 |  31.0667
 2448 | 8.367 | 10.350 |   0.497 |  44.0000
 2449 | 8.501 | 10.580 |   0.528 |  36.7000
 2450 | 8.246 | 10.850 |   0.453 |  17.8667
 2451 | 8.134 | 11.241 |   0.464 |  51.5667
 2452 | 8.355 | 10.425 |   0.490 |  73.8000
 2453 | 8.209 | 11.294 |   0.444 |  31.1667
 2454 | 8.122 | 11.229 |   0.520 |  38.8000
 2455 | 7.988 | 10.270 |   0.472 |  21.5667
 2456 | 7.939 | 11.146 |   0.466 |  24.4000
 2457 | 8.021 | 10.727 |   0.480 |  45.9000
 2458 | 9.000 | 11.268 |   0.455 |  48.8000
 2459 | 7.157 | 10.734 |   0.478 |  94.2667
 2460 | 8.335 | 10.961 |   0.509 |  62.8333
 2461 | 7.574 | 10.951 |   0.395 |  25.5667
 2462 | 7.909 | 11.343 |   0.437 |  70.1000
 2463 | 7.254 | 11.276 |   0.462 |  33.6333
 2464 | 7.614 | 10.902 |   0.410 |  50.6000
 2465 | 7.797 | 10.954 |   0.418 |  35.4333
 2466 | 7.743 | 10.906 |   0.422 |  55.5667
 2467 | 7.433 | 10.887 |   0.421 |  47.1667
 2468 | 7.442 | 10.914 |   0.422 |  34.0000
 2469 | 7.680 | 10.591 |   0.341 |  27.7333
 2470 | 7.680 | 10.591 |   0.341 |  48.1333
 2471 | 7.654 | 10.784 |   0.367 |  39.1333
 2472 | 7.472 | 10.892 |   0.381 |  66.6000
 2473 | 7.606 | 10.941 |   0.445 |  61.3667
 2474 | 7.565 | 10.917 |   0.377 |  55.5000
 2475 | 7.565 | 10.917 |   0.377 |  45.2333
 2476 | 7.565 | 10.896 |   0.374 |  29.1667
 2477 | 6.907 | 11.243 |   0.480 |  55.0333
 2478 | 7.505 | 10.903 |   0.387 |  50.4333
 2479 | 7.543 | 11.842 |   0.358 |  48.9667
 2480 | 7.009 | 11.135 |   0.451 |  33.8000
 2481 | 7.486 | 11.347 |   0.337 |  55.6333
 2482 | 7.165 | 11.858 |   0.428 |  37.7667
 2483 | 7.103 | 12.000 |   0.394 |  36.5333
 2484 | 7.327 | 11.393 |   0.413 |  31.9333
 2485 | 7.380 | 10.835 |   0.352 |  60.5333
 2486 | 7.383 | 10.922 |   0.366 |  66.0333
 2487 | 7.408 | 11.766 |   0.501 |  66.2000
 2488 | 7.405 | 11.413 |   0.440 |  42.1667
 2489 | 7.844 | 11.948 |   0.443 |  38.8667
 2490 | 7.545 | 11.420 |   0.433 |  37.2667
 2491 | 7.545 | 11.420 |   0.433 |  37.1000
 2492 | 7.468 | 12.000 |   0.406 |  56.1000
 2493 | 7.858 | 11.519 |   0.438 |  48.1333
 2494 | 7.385 | 11.767 |   0.415 |  26.2000
 2495 | 6.889 | 11.743 |   0.419 |  45.7667
 2496 | 7.303 | 11.235 |   0.459 |  30.6667
 2497 | 7.441 | 11.304 |   0.444 |  38.7000
 2498 | 7.606 | 11.537 |   0.420 |  37.8667
 2499 | 7.510 | 11.525 |   0.404 |  28.1000
 2500 | 8.115 | 11.503 |   0.401 |  45.9333
 2501 | 7.550 | 11.490 |   0.440 |  45.5000
 2502 | 7.535 | 12.000 |   0.429 |  43.3333
 2503 | 7.575 | 11.488 |   0.386 |  38.3667
 2504 | 7.944 | 11.658 |   0.424 |  38.8000
 2505 | 7.732 | 11.812 |   0.421 |  57.4333
 2506 | 7.661 | 11.704 |   0.423 |  61.3667
 2507 | 8.112 | 11.908 |   0.431 |  39.9000
 2508 | 7.250 | 11.919 |   0.423 |  40.4000
 2509 | 7.371 | 11.900 |   0.439 |  76.5333
 2510 | 7.920 | 12.000 |   0.395 |  58.8667
 2511 | 7.866 | 11.876 |   0.401 |  36.5667
 2512 | 8.127 | 11.947 |   0.473 |  41.6333
 2513 | 7.953 | 11.943 |   0.449 |  85.0667
 2514 | 7.874 | 10.995 |   0.501 |  88.1333
 2515 | 7.890 | 11.753 |   0.456 |  53.4000
 2516 | 7.849 | 11.898 |   0.440 |  28.9000
 2517 | 7.870 | 11.893 |   0.368 |  18.0667
 2518 | 7.798 | 12.000 |   0.395 |  40.4667
 2519 | 7.676 | 11.767 |   0.417 |  11.1667
