episode,reward,steps,epsilon
133.0,-103.0,31.0,0.5134164023722473
134.0,-104.1,42.0,0.510849320360386
135.0,-20.000000000000014,200.0,0.5082950737585841
136.0,-105.39999999999999,55.0,0.5057535983897912
137.0,-64.69999999999996,148.0,0.5032248303978422
138.0,-44.300000000000026,195.0,0.500708706245853
139.0,-100.6,7.0,0.4982051627146237
140.0,-107.29999999999998,74.0,0.49571413690105054
141.0,-104.3,44.0,0.4932355662165453
142.0,30.199999999999967,200.0,0.4907693883854626
143.0,-101.4,15.0,0.4883155414435353
144.0,5.099999999999966,200.0,0.4858739637363176
145.0,5.100000000000055,200.0,0.483444593917636
146.0,-82.80000000000001,80.0,0.4810273709480478
147.0,-104.7,48.0,0.47862223409330756
148.0,-103.1,32.0,0.47622912292284103
149.0,-102.0,21.0,0.4738479773082268
150.0,-102.1,22.0,0.47147873742168567
151.0,-106.1,62.0,0.46912134373457726
152.0,-101.4,15.0,0.46677573701590436
153.0,-101.6,17.0,0.46444185833082485
154.0,5.100000000000055,200.0,0.46211964903917074
155.0,-102.0,21.0,0.4598090507939749
156.0,-101.8,19.0,0.457510005540005
157.0,-110.09999999999998,102.0,0.45522245551230495
158.0,-59.09999999999998,92.0,0.4529463432347434
159.0,-41.80000000000007,170.0,0.4506816115185697
160.0,-92.10000000000007,173.0,0.4484282034609769
161.0,-43.90000000000003,191.0,0.446186062443672
162.0,-40.90000000000006,161.0,0.4439551321314536
163.0,-64.30000000000018,146.0,0.4417353564707963
164.0,-103.0,31.0,0.43952667968844233
165.0,-101.0,11.0,0.43732904629000013
166.0,-103.7,38.0,0.4351424010585501
167.0,-102.6,27.0,0.43296668905325736
168.0,-105.5,56.0,0.43080185560799106
169.0,-103.4,35.0,0.4286478463299511
170.0,-105.5,56.0,0.42650460709830135
171.0,-102.5,26.0,0.42437208406280985
172.0,-20.000000000000014,200.0,0.4222502236424958
173.0,-102.7,28.0,0.42013897252428334
174.0,-101.9,20.0,0.4180382776616619
175.0,-107.29999999999998,74.0,0.4159480862733536
176.0,-102.3,24.0,0.41386834584198684
177.0,-115.59999999999997,157.0,0.4117990041127769
178.0,-105.2,53.0,0.40974000909221303
179.0,-102.2,23.0,0.40769130904675194
180.0,-103.5,36.0,0.40565285250151817
181.0,-86.2000000000001,114.0,0.4036245882390106
182.0,-106.19999999999999,63.0,0.4016064652978155
183.0,-100.9,10.0,0.3995984329713264
184.0,-110.89999999999998,110.0,0.3976004408064698
185.0,5.0999999999999766,200.0,0.39561243860243744
186.0,-105.5,56.0,0.3936343764094253
187.0,-104.5,46.0,0.39166620452737816
188.0,-20.000000000000014,200.0,0.3897078735047413
189.0,5.100000000000055,200.0,0.3877593341372176
190.0,-91.09999999999997,163.0,0.3858205374665315
191.0,-78.20000000000002,34.0,0.38389143477919885
192.0,5.099999999999959,200.0,0.3819719776053028
193.0,-102.3,24.0,0.3800621177172763
194.0,-88.50000000000003,137.0,0.37816180712868996
195.0,-67.3000000000001,176.0,0.37627099809304654
196.0,-112.69999999999997,128.0,0.3743896431025813
197.0,-89.09999999999997,143.0,0.37251769488706843
198.0,-101.7,18.0,0.3706551064126331
199.0,-108.29999999999998,84.0,0.36880183088056995
200.0,-64.69999999999996,148.0,0.3669578217261671
201.0,-100.4,5.0,0.36512303261753626
202.0,-102.6,27.0,0.3632974174544486
203.0,-110.69999999999997,108.0,0.3614809303671764
204.0,-100.8,9.0,0.3596735257153405
205.0,-101.1,12.0,0.3578751580867638
206.0,-67.49999999999997,176.0,0.35608578229633
207.0,-90.7,159.0,0.3543053533848483
208.0,-60.09999999999998,102.0,0.35253382661792404
209.0,-105.5,56.0,0.3507711574848344
210.0,-101.5,16.0,0.34901730169741024
211.0,-20.000000000000014,200.0,0.3472722151889232
212.0,-92.39999999999995,176.0,0.3455358541129786
213.0,-108.79999999999998,89.0,0.3438081748424137
214.0,-106.3,64.0,0.3420891339682016
215.0,-109.49999999999999,96.0,0.3403786882983606
216.0,-102.8,29.0,0.3386767948568688
217.0,5.100000000000053,200.0,0.33698341088258443
218.0,-104.6,47.0,0.3352984938281715
219.0,-102.5,26.0,0.33362200135903064
220.0,-103.1,32.0,0.33195389135223546
221.0,-100.6,7.0,0.3302941218954743
222.0,-83.70000000000007,89.0,0.32864265128599696
223.0,-103.2,33.0,0.326999438029567
224.0,-102.7,28.0,0.3253644408394192
225.0,-104.3,44.0,0.3237376186352221
226.0,-41.79999999999997,170.0,0.322118930542046
227.0,-106.99999999999999,71.0,0.32050833588933575
228.0,-62.59999999999997,127.0,0.31890579420988907
229.0,-103.2,33.0,0.3173112652388396
230.0,-20.000000000000014,200.0,0.3157247089126454
231.0,-101.3,14.0,0.3141460853680822
232.0,-110.89999999999998,110.0,0.3125753549412418
233.0,-20.000000000000014,200.0,0.31101247816653554
234.0,-102.1,22.0,0.30945741577570285
235.0,-63.29999999999997,134.0,0.3079101286968243
236.0,5.100000000000055,200.0,0.3063705780533402
237.0,5.099999999999998,200.0,0.30483872516307353
238.0,30.199999999999825,200.0,0.3033145315372582
239.0,-103.7,38.0,0.3017979588795719
240.0,-20.000000000000014,200.0,0.30028896908517405
241.0,5.100000000000012,200.0,0.2987875242397482
242.0,-39.70000000000005,149.0,0.29729358661854943
243.0,5.099999999999952,200.0,0.29580711868545667
244.0,5.099999999999959,200.0,0.2943280830920294
245.0,-104.1,42.0,0.29285644267656924
246.0,-105.0,51.0,0.2913921604631864
247.0,-107.69999999999999,78.0,0.28993519966087045
248.0,-110.89999999999998,110.0,0.2884855236625661
249.0,-20.000000000000014,200.0,0.28704309604425327
250.0,5.100000000000012,200.0,0.285607880564032
251.0,-101.4,15.0,0.28417984116121187
252.0,-44.599999999999945,198.0,0.2827589419554058
253.0,-63.49999999999997,136.0,0.28134514724562876
254.0,-111.39999999999998,115.0,0.2799384215094006
255.0,-115.89999999999996,160.0,0.27853872940185365
256.0,-69.60000000000001,197.0,0.27714603575484437
257.0,-20.000000000000014,200.0,0.2757603055760701
258.0,-20.000000000000014,200.0,0.2743815040481898
259.0,5.100000000000055,200.0,0.2730095965279488
260.0,-20.000000000000014,200.0,0.27164454854530906
261.0,-20.000000000000014,200.0,0.2702863258025825
262.0,-20.000000000000014,200.0,0.2689348941735696
263.0,-20.000000000000014,200.0,0.26759021970270175
264.0,-20.000000000000014,200.0,0.2662522686041882
265.0,-108.99999999999999,91.0,0.2649210072611673
266.0,-110.59999999999998,107.0,0.26359640222486147
267.0,5.100000000000049,200.0,0.26227842021373715
268.0,-101.8,19.0,0.2609670281126685
269.0,5.099999999999962,200.0,0.25966219297210513
270.0,5.100000000000026,200.0,0.2583638820072446
271.0,5.100000000000055,200.0,0.2570720625972084
272.0,-104.9,50.0,0.25578670228422234
273.0,-20.000000000000014,200.0,0.25450776877280124
274.0,-20.000000000000014,200.0,0.2532352299289372
275.0,5.100000000000048,200.0,0.2519690537792925
276.0,-114.39999999999996,145.0,0.2507092085103961
277.0,-115.79999999999995,159.0,0.2494556624678441
278.0,5.099999999999998,200.0,0.24820838415550486
279.0,-102.0,21.0,0.24696734223472733
280.0,30.199999999999946,200.0,0.2457325055235537
281.0,-103.60000000000001,37.0,0.24450384299593592
282.0,-107.49999999999999,76.0,0.24328132378095624
283.0,-108.1,82.0,0.24206491716205145
284.0,-112.19999999999997,123.0,0.2408545925762412
285.0,-108.89999999999998,90.0,0.23965031961336
286.0,-101.0,11.0,0.2384520680152932
287.0,-104.2,43.0,0.23725980767521673
288.0,-118.1,182.0,0.23607350863684065
289.0,-107.39999999999999,75.0,0.23489314109365644
290.0,-103.4,35.0,0.23371867538818816
291.0,-103.1,32.0,0.23255008201124722
292.0,-101.8,19.0,0.231387331601191
293.0,-104.1,42.0,0.23023039494318503
294.0,-20.000000000000014,200.0,0.2290792429684691
295.0,-64.39999999999996,145.0,0.22793384675362674
296.0,-104.3,44.0,0.22679417751985861
297.0,-63.29999999999997,134.0,0.22566020663225933
298.0,-57.39999999999999,75.0,0.22453190559909803
299.0,5.100000000000039,200.0,0.22340924607110255
300.0,-69.30000000000001,194.0,0.22229219984074702
301.0,-56.3,64.0,0.2211807388415433
302.0,-111.79999999999997,119.0,0.22007483514733558
303.0,-20.000000000000014,200.0,0.2189744609715989
304.0,5.100000000000033,200.0,0.2178795886667409
305.0,5.100000000000055,200.0,0.2167901907234072
306.0,-114.09999999999997,142.0,0.21570623976979014
307.0,5.100000000000055,200.0,0.21462770857094118
308.0,-86.00000000000009,112.0,0.21355457002808648
309.0,-20.000000000000014,200.0,0.21248679717794605
310.0,-94.79999999999998,200.0,0.21142436319205632
311.0,-20.000000000000014,200.0,0.21036724137609603
312.0,5.099999999999998,200.0,0.20931540516921554
313.0,-20.000000000000014,200.0,0.20826882814336947
314.0,-61.199999999999974,113.0,0.20722748400265262
315.0,-20.000000000000014,200.0,0.20619134658263935
316.0,-39.40000000000001,146.0,0.20516038984972615
317.0,5.0999999999999766,200.0,0.2041345879004775
318.0,-118.29999999999998,184.0,0.2031139149609751
319.0,5.100000000000026,200.0,0.20209834538617025
320.0,5.100000000000055,200.0,0.2010878536592394
321.0,5.0999999999999766,200.0,0.2000824143909432
322.0,-67.10000000000016,174.0,0.19908200231898848
323.0,5.100000000000037,200.0,0.19808659230739353
324.0,-102.3,24.0,0.19709615934585656
325.0,-105.1,52.0,0.19611067854912728
326.0,-114.19999999999996,143.0,0.19513012515638165
327.0,-103.8,39.0,0.19415447453059972
328.0,-104.7,48.0,0.19318370215794672
329.0,5.100000000000005,200.0,0.192217783647157
330.0,-42.50000000000003,177.0,0.1912566947289212
331.0,5.100000000000037,200.0,0.1903004112552766
332.0,-57.39999999999999,75.0,0.18934890919900021
333.0,-60.49999999999998,106.0,0.18840216465300522
334.0,-60.19999999999998,103.0,0.18746015382974018
335.0,-84.40000000000008,96.0,0.1865228530605915
336.0,-88.6000000000001,138.0,0.18559023879528855
337.0,-20.000000000000014,200.0,0.1846622876013121
338.0,-58.09999999999999,82.0,0.18373897616330553
339.0,-20.000000000000014,200.0,0.182820281282489
340.0,-86.3000000000001,115.0,0.18190617987607657
341.0,-90.50000000000004,157.0,0.18099664897669618
342.0,5.100000000000026,200.0,0.1800916657318127
343.0,-38.700000000000045,139.0,0.17919120740315364
344.0,-84.3000000000001,95.0,0.17829525136613786
345.0,-20.000000000000014,200.0,0.17740377510930716
346.0,-20.000000000000014,200.0,0.17651675623376062
347.0,-112.89999999999998,130.0,0.1756341724525918
